Start_time, Request_Type, Latency, Response_Code
18:31:22.866295500, POST, 17.0, 201
18:31:22.868297200, POST, 15.0, 201
18:31:22.865294400, POST, 18.0, 201
18:31:22.865294400, POST, 19.0, 201
18:31:22.867296400, POST, 18.0, 201
18:31:22.863292400, POST, 22.0, 201
18:31:22.866295500, POST, 20.0, 201
18:31:22.864293300, POST, 23.0, 201
18:31:22.864293300, POST, 23.0, 201
18:31:22.867296400, POST, 21.0, 201
18:31:22.886313700, POST, 9.0, 201
18:31:22.884311400, POST, 12.0, 201
18:31:22.888315300, POST, 9.0, 201
18:31:22.885312700, POST, 12.0, 201
18:31:22.885312700, POST, 13.0, 201
18:31:22.883310400, POST, 15.0, 201
18:31:22.887314800, POST, 12.0, 201
18:31:22.888315300, POST, 12.0, 201
18:31:22.880307900, POST, 20.0, 201
18:31:22.887314800, POST, 13.0, 201
18:31:22.881308600, POST, 20.0, 201
18:31:22.882309800, POST, 19.0, 201
18:31:22.884311400, POST, 18.0, 201
18:31:22.880307900, POST, 22.0, 201
18:31:22.883310400, POST, 19.0, 201
18:31:22.882309800, POST, 20.0, 201
18:31:22.902328400, POST, 11.0, 201
18:31:22.901328, POST, 13.0, 201
18:31:22.902328400, POST, 13.0, 201
18:31:22.901328, POST, 15.0, 201
18:31:22.902328400, POST, 14.0, 201
18:31:22.897323500, POST, 19.0, 201
18:31:22.901328, POST, 15.0, 201
18:31:22.900326500, POST, 17.0, 201
18:31:22.900326500, POST, 17.0, 201
18:31:22.898324500, POST, 19.0, 201
18:31:22.899325300, POST, 19.0, 201
18:31:22.899325300, POST, 19.0, 201
18:31:22.902328400, POST, 17.0, 201
18:31:22.898324500, POST, 22.0, 201
18:31:22.902328400, POST, 19.0, 201
18:31:22.898324500, POST, 23.0, 201
18:31:22.920344600, POST, 6.0, 201
18:31:22.914339200, POST, 13.0, 201
18:31:22.921345600, POST, 6.0, 201
18:31:22.916340800, POST, 12.0, 201
18:31:22.918342600, POST, 11.0, 201
18:31:22.918342600, POST, 12.0, 201
18:31:22.918342600, POST, 12.0, 201
18:31:22.918342600, POST, 15.0, 201
18:31:22.919343700, POST, 14.0, 201
18:31:22.917341600, POST, 17.0, 201
18:31:22.914339200, POST, 20.0, 201
18:31:22.916340800, POST, 18.0, 201
18:31:22.916340800, POST, 18.0, 201
18:31:22.916340800, POST, 19.0, 201
18:31:22.921345600, POST, 14.0, 201
18:31:22.919343700, POST, 16.0, 201
18:31:22.927351, POST, 14.0, 201
18:31:22.929353100, POST, 13.0, 201
18:31:22.933356700, POST, 9.0, 201
