Start_time, Request_Type, Latency, Response_Code
07:29:30.417236400, POST, 532.0, 201
07:29:30.417236400, POST, 533.0, 201
07:29:30.417236400, POST, 533.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.418237700, POST, 533.0, 201
07:29:30.417236400, POST, 533.0, 201
07:29:30.417236400, POST, 533.0, 201
07:29:30.417236400, POST, 532.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 534.0, 201
07:29:30.417236400, POST, 533.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 6.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 5.0, 201
07:29:30.951723400, POST, 6.0, 201
07:29:30.956727600, POST, 4.0, 201
07:29:30.952724400, POST, 8.0, 201
07:29:30.951723400, POST, 9.0, 201
07:29:30.952724400, POST, 9.0, 201
07:29:30.951723400, POST, 10.0, 201
07:29:30.956727600, POST, 4.0, 201
07:29:30.958729700, POST, 3.0, 201
07:29:30.956727600, POST, 5.0, 201
07:29:30.951723400, POST, 10.0, 201
07:29:30.957728800, POST, 4.0, 201
07:29:30.957728800, POST, 4.0, 201
07:29:30.957728800, POST, 5.0, 201
07:29:30.951723400, POST, 11.0, 201
07:29:30.957728800, POST, 6.0, 201
07:29:30.957728800, POST, 6.0, 201
07:29:30.951723400, POST, 12.0, 201
07:29:30.961732200, POST, 14.0, 201
07:29:30.963734200, POST, 13.0, 201
07:29:30.961732200, POST, 15.0, 201
07:29:30.962733100, POST, 13.0, 201
07:29:30.962733100, POST, 14.0, 201
07:29:30.963734200, POST, 13.0, 201
07:29:30.963734200, POST, 13.0, 201
07:29:30.961732200, POST, 14.0, 201
07:29:30.961732200, POST, 15.0, 201
07:29:30.961732200, POST, 16.0, 201
07:29:30.963734200, POST, 13.0, 201
07:29:30.961732200, POST, 15.0, 201
07:29:30.962733100, POST, 15.0, 201
07:29:30.961732200, POST, 16.0, 201
07:29:30.962733100, POST, 14.0, 201
07:29:30.962733100, POST, 15.0, 201
07:29:30.977746800, POST, 2.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.976746600, POST, 15.0, 201
07:29:30.976746600, POST, 15.0, 201
07:29:30.977746800, POST, 14.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.976746600, POST, 16.0, 201
07:29:30.976746600, POST, 16.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.977746800, POST, 15.0, 201
07:29:30.976746600, POST, 16.0, 201
07:29:30.976746600, POST, 17.0, 201
07:29:30.976746600, POST, 17.0, 201
07:29:30.980749900, POST, 13.0, 201
07:29:30.992760400, POST, 14.0, 201
07:29:30.993761200, POST, 14.0, 201
07:29:30.992760400, POST, 15.0, 201
07:29:30.992760400, POST, 14.0, 201
07:29:30.992760400, POST, 14.0, 201
07:29:30.993761200, POST, 13.0, 201
07:29:30.993761200, POST, 14.0, 201
07:29:30.992760400, POST, 15.0, 201
07:29:30.993761200, POST, 14.0, 201
07:29:30.993761200, POST, 14.0, 201
07:29:30.993761200, POST, 15.0, 201
07:29:30.992760400, POST, 16.0, 201
07:29:30.992760400, POST, 15.0, 201
07:29:30.993761200, POST, 15.0, 201
07:29:30.993761200, POST, 15.0, 201
07:29:30.992760400, POST, 17.0, 201
07:29:31.008775, POST, 14.0, 201
07:29:31.007774100, POST, 15.0, 201
07:29:31.008775, POST, 15.0, 201
07:29:31.009776500, POST, 14.0, 201
07:29:31.008775, POST, 16.0, 201
07:29:31.007774100, POST, 16.0, 201
07:29:31.008775, POST, 15.0, 201
07:29:31.008775, POST, 15.0, 201
07:29:31.009776500, POST, 14.0, 201
07:29:31.008775, POST, 15.0, 201
07:29:31.007774100, POST, 17.0, 201
07:29:31.010777600, POST, 13.0, 201
07:29:31.007774100, POST, 16.0, 201
07:29:31.008775, POST, 16.0, 201
07:29:31.007774100, POST, 17.0, 201
07:29:31.007774100, POST, 17.0, 201
07:29:31.023788600, POST, 14.0, 201
07:29:31.024789800, POST, 14.0, 201
07:29:31.023788600, POST, 14.0, 201
07:29:31.023788600, POST, 14.0, 201
07:29:31.024789800, POST, 14.0, 201
07:29:31.024789800, POST, 14.0, 201
07:29:31.023788600, POST, 15.0, 201
07:29:31.024789800, POST, 14.0, 201
07:29:31.024789800, POST, 14.0, 201
